method,AUC,ECE_cal,source
faceswap,0.9738075762237396,0.036444865363078,FFpp
deepfakes,0.8391220113645335,0.1762113873936939,FFpp
face2face,0.6252604000510432,0.3194726782149117,FFpp
neuraltextures,0.6000810672632877,0.3428077847461974,FFpp
faceswap,0.3868015747978045,0.3260511605300072,FFpp
deepfakes,0.6644668990730721,0.2013405262671598,FFpp
face2face,0.4948033640655905,0.2623622856972238,FFpp
neuraltextures,0.640338822861048,0.1582019729450798,FFpp
df40_StyleGAN2,0.6491174214711677,0.0629280286210958,DF40
df40_blendface,0.94285209820568,0.0224611049750214,DF40
df40_ddim,0.7661389045915591,0.0410844186990667,DF40
df40_facevid2vid,0.8215524423934427,0.0636893559366865,DF40
df40_fomm,0.8008430759577733,0.0543718052862854,DF40
df40_inswap,0.8151875494888199,0.0726485262380471,DF40
df40_sd2.1,0.6878661314685541,0.0441553643753362,DF40
df40_simswap,0.9477985239610648,0.0237791637014415,DF40
