method,era,family,AUC,ECE_cal,entropy,confident_frac,bimodality,mean_score,std_score,ks_vs_ref,wasserstein_vs_ref,kl_vs_ref
faceswap,2016,FS,0.8919,0.0455,0.1856979966199657,0.8453068662040089,0.9263679381936232,0.8237198237423288,0.3279651131686568,0.36925002433311127,0.35226439383910835,0.3415670328838229
fomm,2019,FR,0.8008,0.0544,0.26977217858883384,0.751370762221021,0.8852328329345485,0.7277847614262956,0.37624882003394766,0.33411700748851153,0.2563434992312751,0.27484172737738155
fsgan,2019,FS,0.9004,0.0364,0.1474671068759907,0.8737163474882043,0.9424433062144448,0.8078659640371499,0.35367499234974054,0.34631838912039015,0.3364105341339295,0.31472287268949717
wav2lip,2019,FR,0.4701,0.2238,0.2983281322864728,0.7247484300522055,0.8588468036038566,0.3878684497634087,0.4181139063578865,0.1713146004156475,0.0942665826330541,0.15364719905973007
StyleGAN2,2020,EFS,0.6491,0.0629,0.3204828766834569,0.7043262117535657,0.8426774333641928,0.5753140063777459,0.42063651974088434,0.2750743721324665,0.10760014492047115,0.1963427828490123
ddim,2020,EFS,0.7661,0.0411,0.25387593524684754,0.7711723974670059,0.8921049710396949,0.7048441995074514,0.3938444065645588,0.3140083324912417,0.23338957498187657,0.22422189536730103
simswap,2020,FS,0.9478,0.0238,0.11448999223569366,0.9033613445378151,0.9530424301538519,0.8484299106593665,0.32452487952961667,0.40939705432143975,0.37697448075614587,0.39221172187172243
StyleGAN3,2021,EFS,0.6792,0.0596,0.3007404098956656,0.7255134047464047,0.856652093409316,0.610804410765783,0.41787177953035326,0.2780847627282691,0.14033834108087673,0.18521132444985
facevid2vid,2021,FR,0.8216,0.0637,0.25530879610934887,0.7668365346922775,0.8917666133057165,0.7316084080146183,0.37804954644793465,0.33003320909104117,0.2601529781113978,0.2618454665105855
pirender,2021,FR,0.688,0.0894,0.340880840814646,0.6778531292385197,0.8332487794186564,0.6070042118790389,0.40768293072288886,0.2987065746041337,0.13831327165573268,0.25770844645205077
DiT,2022,EFS,0.5214,0.1608,0.34661228792403764,0.6707995502160147,0.826022288238635,0.4308637109041102,0.41436986538496756,0.20620489991338903,0.07572522359200519,0.22149631533384034
StyleGANXL,2022,EFS,0.6374,0.0932,0.3720511903746326,0.6512102740131385,0.8156033299238954,0.563653010664469,0.40878209889033235,0.3011385642823504,0.10542430929465867,0.28844515807161974
lia,2022,FR,0.6068,0.1462,0.3093651668095604,0.7181231809958311,0.8439546819826512,0.5207785194410142,0.4297423852891802,0.23173056969006944,0.06305454062079667,0.15241918746418848
sd2.1,2022,EFS,0.6879,0.0442,0.3213690315460204,0.7018997455169557,0.8489727565830852,0.6264396254935897,0.40783302372230434,0.29171955015363427,0.15683170516184647,0.2249353915021901
blendface,2023,FS,0.9429,0.0225,0.11669019050860586,0.9014763134564237,0.9526536371667019,0.8496206148140762,0.32265611332753213,0.403563257181628,0.3781651849108558,0.3940940347093798
facedancer,2023,FS,0.9327,0.0254,0.13174115223745542,0.8883735312306741,0.9473874535895337,0.8363598736007075,0.3318348127666613,0.3759361889625719,0.36490444369748704,0.3643268539306881
inswap,2023,FS,0.8152,0.0726,0.21619709748944127,0.807746811525744,0.9117419616434375,0.7306567030664292,0.38993674626063296,0.309206287287709,0.2592012731632086,0.22047587761553847
pixart,2023,EFS,0.4329,0.2653,0.308077398316377,0.7213114754098361,0.8663668226208274,0.3282020103385026,0.3951597290731999,0.2244555015210118,0.14914966743217303,0.2087337019289617
sadtalker,2023,FR,0.427,0.2639,0.3211579287808642,0.7006314365180786,0.8522024272087515,0.35734455393121073,0.40244668945906426,0.19735292777670355,0.12515472139169612,0.21523398627265322
SiT,2024,EFS,0.5535,0.0966,0.35093774628096835,0.6680179913594129,0.8199101735903106,0.46781822830015957,0.41774012590379667,0.22306748427663148,0.06446904367270122,0.22010866241236435
rddm,2024,EFS,0.733,0.1476,0.5092873873268934,0.38860894793098183,0.881153633041413,0.7195217960767015,0.3070043417436372,0.3480088365365539,0.30298308100710913,1.3033077223502167
