method,AUC,ECE_cal,faithfulness_rankcorr,ks_vs_ref,entropy,wasserstein_vs_ref
faceswap,0.8919,0.0455,0.6039629939167742,0.3692500243331112,0.1856979966199657,0.3522643938391083
fomm,0.8008,0.0544,0.5079018850451942,0.3341170074885115,0.2697721785888338,0.2563434992312751
fsgan,0.9004,0.0364,0.6669866640011749,0.3463183891203901,0.1474671068759907,0.3364105341339295
wav2lip,0.4701,0.2238,0.1078334593000244,0.1713146004156475,0.2983281322864728,0.0942665826330541
StyleGAN2,0.6491,0.0629,0.3235169161060193,0.2750743721324665,0.3204828766834569,0.1076001449204711
ddim,0.7661,0.0411,0.4881477306813852,0.3140083324912417,0.2538759352468475,0.2333895749818765
simswap,0.9478,0.0238,0.6513187010039017,0.4093970543214397,0.1144899922356936,0.3769744807561458
StyleGAN3,0.6792,0.0596,0.3809090200407475,0.2780847627282691,0.3007404098956656,0.1403383410808767
facevid2vid,0.8216,0.0637,0.633436442652152,0.3300332090910411,0.2553087961093488,0.2601529781113978
pirender,0.688,0.0894,0.2680655321872251,0.2987065746041337,0.340880840814646,0.1383132716557326
DiT,0.5214,0.1608,0.3478354379582565,0.206204899913389,0.3466122879240376,0.0757252235920051
StyleGANXL,0.6374,0.0932,0.2023040700021766,0.3011385642823504,0.3720511903746326,0.1054243092946586
lia,0.6068,0.1462,0.1532635779722405,0.2317305696900694,0.3093651668095604,0.0630545406207966
sd2.1,0.6879,0.0442,0.3523054713661087,0.2917195501536342,0.3213690315460204,0.1568317051618464
blendface,0.9429,0.0225,0.6859199617944026,0.403563257181628,0.1166901905086058,0.3781651849108558
facedancer,0.9327,0.0254,0.6548368333012802,0.3759361889625719,0.1317411522374554,0.364904443697487
inswap,0.8152,0.0726,0.4569543515674039,0.309206287287709,0.2161970974894412,0.2592012731632086
pixart,0.4329,0.2653,0.1267002978198901,0.2244555015210118,0.308077398316377,0.149149667432173
sadtalker,0.427,0.2639,0.1161843230006409,0.1973529277767035,0.3211579287808642,0.1251547213916961
SiT,0.5535,0.0966,0.2951621286885723,0.2230674842766314,0.3509377462809683,0.0644690436727012
