method,AUC,ECE_cal,faithfulness_rankcorr,entropy,score_dispersion,mean_max_conf,frac_uncertain,n_faith
faceswap,0.9933,0.0102,,0.0877,0.305,0.9742,0.0162,0
fomm,0.8365,0.0422,,0.2798,0.3598,0.917,0.051,0
fsgan,0.9563,0.0184,,0.1149,0.3288,0.9663,0.021,0
wav2lip,0.6411,0.0995,,0.3705,0.4077,0.8883,0.07,0
StyleGAN2,0.8208,0.0228,,0.2255,0.3529,0.935,0.0378,0
ddim,0.7445,0.0617,,0.2784,0.3835,0.9186,0.048,0
simswap,0.9597,0.0187,,0.119,0.3098,0.9666,0.0191,0
StyleGAN3,0.7744,0.029,,0.2596,0.3744,0.9238,0.0458,0
facevid2vid,0.838,0.0436,,0.2592,0.3562,0.9241,0.0453,0
pirender,0.7281,0.0928,,0.3311,0.3942,0.9012,0.0603,0
DiT,0.5613,0.1428,,0.3598,0.4157,0.8925,0.0659,0
StyleGANXL,0.6984,0.0718,,0.3723,0.3811,0.8861,0.071,0
lia,0.6914,0.1414,,0.3546,0.4078,0.8948,0.0623,0
sd2.1,0.7513,0.0368,,0.3102,0.3648,0.9087,0.0543,0
blendface,0.9787,0.0233,,0.1018,0.306,0.9709,0.0174,0
facedancer,0.9813,0.0073,,0.1044,0.3083,0.9697,0.0186,0
inswap,0.8905,0.0447,,0.1917,0.3626,0.9444,0.0337,0
pixart,0.7633,0.0259,,0.2584,0.3829,0.9243,0.0449,0
sadtalker,0.5664,0.1797,,0.3778,0.4113,0.8879,0.0663,0
SiT,0.5888,0.1062,,0.3521,0.4156,0.8951,0.063,0
